text,cmp_code,pos
Its hard to think of others when we are pitted against one another and sold the lie that individuals are to blame for their misfortunes;,606,105
and Its hard to think of the common good when its never mentioned.,606,106
Private interests have ruled the roost for far too long.,403,107
"The result is a society scarred by inequalities of power and wealth,",503,108
and a planet plundered of resources and damaged by pollution.,501,109
All in it together? We dont think so.,606,110
Those with power and wealth have done very well out of austerity:,503,111
the UKs wealthiest 1% grab more than anywhere else in Europe.,503,112
"Politics has fragmented, public institutions have weakened, peoples lives are dominated by insecurity, and prejudice is rife.",202,113
"We live in a price-tag society  and if you cant pay the price, too bad.",503,114
Things that used to be done by public agencies have been outsourced.,413,115
Once it was a duty for all of us to look after the vulnerable when times were hard.,606,116
"We paid taxes into a common fund to look after the poor, the weak, the old and the sick, and to educate the young.",606,117
"This is what we did as citizens, bound together by what we share rather than separated by what divides us.",606,118
"Now care has been outsourced to charity, to food banks.",503,119
"Some think this is a sign of the Big Society, but we think its the sign of a failed society.",503,120
Individual charity is no substitute for collective justice.,503,121
For 40 years the rich and powerful have forced us to live in their fantasy world  a world that suits the minority not the majority.,503,122
"This is a world imagined from the point of view of the healthy, the wealthy and the privileged.",503,123
"Where there is a satisfying job just round the corner if only we could be bothered to look for it,",503,124
"where resources are limitless,",503,125
and where the only obstacle to total fulfilment is the psychology of individual failure.,503,126
"Meanwhile, in the real world where most of us live, we are young and old, sometimes poor and sick, jobs are scarce,",503,127
"the Earth groans under the weight of our demands,",501,128
and the obstacles in the way of our flourishing can be stubborn and unyielding.,503,129
How should we organise life in this real world?,503,130
Do we want our security to depend on the underpaid zero-hours worker,701,131
"of an outsourced company, maximising shareholder profit?",403,132
"No, we want well-trained, committed workers, properly paid and secure in their own lives",701,133
 because our well-being is linked to everyone elses.,606,134
Do we want a world in which privatisation is the solution for everything?,413,135
"Or have we learnt from energy, water and rail that down that road lies private gain rather than the common good?",413,136
Its public ownership and democratic control that lead to fairer services and better outcomes.,413,137
"The market makes us impatient with the suffering of others, tolerant of inequality, prone to prejudice, suspicious of difference.",403,138
"We know we can be cooperative, appreciative, understanding and fair.",606,139
We just need a world that encourages us to be these things.,107,140
Together we can create that world.,107,141
"The challenges that lie ahead of us are unique in their combination: declining resources,",701,142
"global warming,",701,143
"deepening inequality,",701,144
footloose capital.,416,145
"But these problems have been created by us, so they can be solved by us.",107,146
We need to remake society.,606,147
"And in this remaking we need finally to realise that consumer capitalism is the problem, not the solution.",416,148
The solution lies in a democratically managed economy,202,149
that operates within the Earths resource limits.,416,150
"We dont want a privatised outsourced state, we want a green and democratic one.",202,151
"We want a public National Health Service, not privatised healthcare.",413,152
"The uncoordinated actions of millions of individuals, with unequal access to wealth and power and urged to maximise their own interests without regard for anyone elses, will only deepen the crisis.",606,153
"This is whats on offer from the Conservatives and the Liberal Democrats, from Labour and from UKIP.",305,154
"We need a party prepared to challenge the damage this has done, a party that expects something better.",305,155
We need a party prepared for the real world.,305,156
We need a party for the common good.,606,157
We need the Green Party.,501,158
"Imagine having a secure, fulfilling and decently paid job, knowing that you are working to live and not living to work.",701,159
"Imagine coming home to an affordable flat or house, and being valued for your contribution and character, not for how much you earn.",503,160
Imagine knowing that you and your friends are part of an economy that works with the planet rather than against it.,416,161
Imagine food banks going out of business.,503,162
Imagine the end of poverty and deprivation.,503,163
The key to all this is to put the economy at the service of people and planet rather than the other way round.,501,164
Thats what the Green Party will do.,501,165
The main issue for many at this election is the economy.,408,167
Many people have very practical worries:,503,168
Is my job secure?,701,169
Will our family have enough this month to pay the bills and put food on the table?,503,170
Can we keep paying the mortgage or the rent?,503,171
Will we have to continue to work unreasonably long or unpredictable hours?,701,172
Is my pay fair compared with others?,701,173
Will my benefits be cut?,504,174
Will I ever get a pension?,504,175
Will I ever get a job with a future?,701,176
Will I ever pay off my student loan?,504,177
Will I ever find a decent place to live?,503,178
Will the economy provide a decent livelihood long into the future for our children and grandchildren?,503,179
Our solutions to these worries are very different from the other parties.,416,180
The Coalition parties and Labour agree on one thing about the economy: its got to grow because growth is the answer to everything.,416,181
"If the costs include ruining our climate and countryside by exploiting shale gas, tolerating massive inequality and the insecurity of zero-hours contracts or massive underemployment  then too bad.",416,182
We dont agree with the growth objective.,416,183
"Our economic policy promotes a fair, just and more equal society",503,184
while recognising that we live on a finite planet.,501,185
Its easy to forget the fact that everything we make and everything we buy comes from the Earth.,501,186
And we have only one of them.,501,187
"If everyone on Earth consumed at the rate we do in the UK, wed need nearly three planets to sustain us.",416,188
"If its the average North American, then wed need nearly four planets.",416,189
Greens are sometimes accused of being unrealistic about economics.,416,190
Nothing could be further from the truth.,416,191
"Its our opponents who are the fantasists, believing that continual growth is possible on a finite planet",416,192
". Greens are the realists, understanding that the planet imposes limits and focusing on essentials such as jobs, housing and the household budget.",416,193
"The economy depends on society,",606,194
which depends on the Earth and its resources.,501,195
Thats the order of things  not the other way round.,501,196
"And whats growth for, anyway?",416,197
"The aim of politics is to help us flourish, and by this measure growth has failed in recent decades.",416,198
"The Office for National Statistics (ONS) tells us that Gross Domestic Product (GDP) per person has grown by more than three times since 1955, allowing for inflation.",416,199
Are we three or four times more content?,416,200
"No, levels of life satisfaction have dropped in this period.",416,201
Were told that growth has returned to the UK.,416,202
The result? More than one in four children is growing up in poverty.,416,203
The bosses of the UKs 100 biggest companies earn on average 143 times more than their staff.,416,204
The top 1% of the population has the same wealth as the bottom 55%.,503,205
Five families in the UK have the same wealth as 12 million UK citizens.,503,206
"913,138 people received three days emergency food from Trussell Trust food banks in 201314 compared with 346,992 in 201213.",503,207
Debt levels are growing.,416,208
"By 2018, 2 million households are expected to spend more than half their disposable income repaying loans.",416,209
Household incomes adjusted for inflation are still on average 2% below what they were in 200910.,503,210
Joining up the policies.,305,211
"Government is run too much by Departments, which rarely take any notice of each other.",303,212
Greens like to join things up...,305,213
"So what do social justice and greater equality have to do with health, education, opportunity, the numbers in prison, and even recycling?",503,214
This manifesto has many other policies designed to improve all these things.,503,215
But just making us more equal will improve all of them.,503,216
"So its not the economy, stupid.",416,217
Or at least not one that grows forever.,416,218
The Green Party believes that equality is much more important than growth.,416,219
And growth doesnt bring equality; in fact it helps to justify inequality.,416,220
The result of the corrosive trickle-down fantasy is plain: the sixth-richest society in the world is disfigured by high levels of deprivation.,416,221
And its not only those right at the bottom who have problems.,416,222
"Despite the fact that household incomes are now back to 200708 levels, families on ordinary incomes have faced a real squeeze since 200910 as prices go up and incomes stagnate.",503,223
We will abandon GDP and the pursuit of growth as a measure of economic success.,416,224
"We would use a measure of Adjusted National Product (ANP), which would take account of capital and environmental depreciation and include the value of many things not currently paid for, such as unpaid work at home.",416,225
Green councillors mobilise alternatives to payday lenders...,305,226
"In a move to break peoples dependence on payday lenders, in Stowmarket, Suffolk, Councillor John Matthissen is leading a cross-agency project to launch a collection and information point for the local credit union.",403,227
"We make an important distinction between short-term growth, or regeneration, and long-term dependency on continuing economic growth.",409,229
"The measures we propose as alternatives to austerity will, by halting and reversing the cuts to public services, restore lost jobs and create new ones.",409,230
"The increased economic activity will cause the economy to grow rather than shrink in the short term, restoring employment and living standards.",409,231
"However, we see such short-term growth as transitional, as a side-effect of ending the failed austerity project.",409,232
We do not see it as a contradiction to adapting the economy for One-Planet Living in the longer term.,107,233
There is an alternative to austerity.,408,235
The crunch of 2008 was the result of the pressures of our consumer society and an unregulated finance system; people borrowed too much and banks were too willing to lend.,403,236
"Now people and businesses are paying down their debts, businesses contract haphazardly and workers are laid off.",403,237
"The Coalitions reaction was to use this as an excuse to impose austerity  in order to cut the debt, especially the governments deficit  while doing little to strengthen the economy.",410,238
"The winners are those who absorb corporate surpluses, the chief executives and the shareholders.",403,239
"The biggest losers are the unemployed, the low paid and the vulnerable, especially those who depend on public services.",403,240
Labour plans to match the Tories fiscal envelope for Departmental spending  code for more austerity.,408,241
We think the economy should work for us all.,410,242
We want a One-Planet economy that will address the challenge of climate change and unacceptable levels of inequality.,107,243
We have to throw off the shackles of market ideology and consider afresh what really needs to be done.,403,244
We need to: Ensure that everyone who wants one has a decent secure job paid at least a living wage.,412,245
So we have to encourage and create jobs.,701,246
"In total, the policies in this manifesto will create over 1 million jobs.",701,247
See the section on Work in Chapter 9.,701,248
Address the issue of climate change.,501,249
We need huge investment in using energy more efficiently and generating energy sustainably.,501,250
This will not happen without public investment.,501,251
See Chapter 4 on Energy and Climate.,501,252
"Stabilise and tightly regulate the financial sector, whose greed and recklessness have been a major cause of our recent economic difficulties and of growing inequality.",403,253
See the section on Finance in Chapter 9.,403,254
"Provide equality and security in a mixed economy by committing to the common good, a larger public sector and higher taxation, funding our health, education and local services properly, and creating hundreds of thousands of jobs.",403,255
See the section on Taxes in Chapter 9.,403,256
Be prepared to borrow on good terms to fund investment rather than making closing the deficit the main objective of our economic policy.,409,257
The plans in this manifesto require borrowing of £338 billion (in real 2015 terms) over the Parliament as compared with the Coalitions plan in the 2015 Budget to borrow £115 billion.,409,258
"If monetary policy demands quantitative easing, we will spend that money directly on green investment.",501,259
"However, the programme of public spending and taxation in this manifesto would show a surplus on the current account (that is, excluding investment) of 2.7% by the end of the Parliament.",408,260
Reject the dogma that everything is best done by the private sector.,403,261
"A sensible economy is a mixed economy, where some things  health, education and public transport, for example  are better in community or public ownership.",403,262
"See Chapters 6, 7 and 12 on Health, Education and Transport.",403,263
Support those without jobs and treat them with respect in a system that makes getting some work worthwhile,701,264
`and provides pensions that allow older people to live with dignity.,504,265
`See Chapter 10 on Social Security.,504,266
"Mobilise the talents and energy of everyone and serve everyone,",503,267
"`including the young and the old, men and women, those who are disabled and minority groups, including ethnic minorities and different sexual orientations.",503,268
See Chapter 5 on Equalities.,503,269
Recognise that not everything that is valuable has a price attached to it.,503,270
Create a robust taxation system that promotes equality,503,272
and sustainability.,501,273
Rein in huge companies that put shareholder returns ahead of the common good.,403,274
"Foster institutional change in the economy that we want, with changes to company law",403,275
and encouragement for small firms and mutuals.,403,276
See the Changing Economic Organisations and Small Firms sections in Chapter 9.,403,277
Create an efficient economy that encourages innovation and the use of science but does not rely on dangerous technologies.,416,278
See the Science section in Chapter 3.,416,279
"Foster an economy that is open to Europe and the wider world, that accepts people will move from country to country",107,280
and that is willing to assist countries poorer than ours.,107,281
See Chapter 13 on International Affairs.,107,282
Ensure that the Treasurys priority objective is to deliver an economy with these aims.,107,283
How we will do this is set out in detail in the following chapters.,305,284
The third planet from the sun.,501,286
Our home.,501,287
Home to 9 million other species.,501,288
The only planet with liquid water at its surface.,501,289
The only planet in the solar system with 21% oxygen.,501,290
"As far as we know, the only planet in the solar system that sustains life.",501,291
"Imagine a political party that prioritises the protection of the land, the seas and their inhabitants.",501,292
Imagine one that believes that animals have a right to flourish and arent just a means to the end of human satisfaction.,501,293
Imagine one that believes the common good embraces other species and not just our own.,501,294
"Thats what a real political party, the Green Party, does.",501,295
"The Earth is our home, and this is what we are doing to it: We have lost half the wild animals on Earth in the past 40 years.",501,296
"We lose between 200 and 100,000 species every year.",501,297
"This is between 1,000 and 10,000 times faster than the natural extinction rate.",501,298
We are causing a sixth extinction.,501,299
The other five occurred naturally; this one is down to us.,501,300
We have increased CO2 concentrations from a pre-industrial 280 parts per million (ppm) to about 400 ppm.,501,301
Global temperatures are due to rise between 1.5 and 4.8 degrees C by 2100.,501,302
And thats just the internationally agreed range without feedback effects.,501,303
Many experts are predicting rises as high as 6 degrees C.,501,304
For the first time in the history of the Earth one species is changing it forever  the human species.,501,305
They call this new era the Anthropocene.,501,306
We now have our very own geological epoch.,501,307
"This brings with it massive responsibilities, which no other party understands or acknowledges.",501,308
"The rich and powerful, in particular, have spent too long treating the Earth like an indestructible storehouse, to be thoughtlessly pillaged of its natural resources.",416,309
"UK biodiversity is threatened by development and agricultural practices such as intensive farming, the draining of wetlands and the deforesting of hills.",501,310
Genetic selection is causing endemic health and welfare problems in domestic and farmed animals.,501,311
Animal experimentation is still routine; millions of animals suffer pain and death every year in the UK.,501,312
Overfishing is devastating marine ecosystems.,501,313
"Our attitude to the natural world is epitomised by the fact that some circuses still tour with wild animals, including zebras, lions, snakes, tigers and camels.",501,314
The Green Party will put policies in place that will stop us treating other species and the wider environment as a means to the satisfaction of humans only.,501,315
This is because the common good includes other species too.,501,316
We depend on them for our own welfare.,501,317
Every second breath we take is made possible by phytoplankton releasing oxygen into the oceans.,501,318
"As the oceans acidify and heat up through global warming, their capacity to fix CO2 and release oxygen is compromised.",501,319
"This is interdependence at work, and we ride roughshod over it at our peril.",501,320
But we should also care for other species because the planet is their home too; we share it with them and we need to take their interests and well-being  as well as ours  into account.,501,321
We need to halt the damage to nature in the UK and return protection of our natural landscapes to a central part in our national life.,501,323
"The time has come for a new legal framework for the protection of landscape and wildlife, and we would promote a new Nature and Well-being Act.",501,324
"On landscape and habitats we will: Protect, expand, properly fund and improve non-car access to our National Parks.",501,325
Make good the Coalitions unfulfilled promise to protect forests through a Forests Protection Bill.,501,326
"Reduce dramatically the use of pesticides and prioritise non-chemical farming methods through improved agri-environment schemes, legislation, education and the promotion of good practice in all farming,",501,327
as well as increased support for organic farming.,703,328
"Secure protection of rural residents and communities from exposure to pesticides sprayed on nearby crop fields and prohibit the use of pesticides in the locality of homes, schools and childrens playgrounds.",501,329
Improve the management of woodlands through new planting and the local use of sustainable woodland products.,501,330
"Aim to ensure through planning that everyone lives within five minutes walk of a green open space,",501,331
and ensure local authorities have the resources to extend and maintain local parks.,501,332
"Introduce a nature improvement area in every town, city and county.",501,333
"Help bees by reducing pesticide use (banning neonicotinoids),",501,334
"greening farming,",703,335
improving planning guidelines to preserve/ create bee habitats,501,336
and making bees a priority species in biodiversity strategies.,501,337
"Promote landscape-scale conservation,",501,338
"using reform of the Common Agricultural Policy,",110,339
improved agri-environment schemes,501,340
and the planning system.,501,341
"In particular, all farm payments should be designed to protect the soil,",501,342
"reduce flood risk,",501,343
"conserve wildlife,",501,344
"improve water quality,",501,345
increase recreation,501,346
and assist carbon capture.,501,347
We would also include protecting ecosystems in our aid for developing countries.,107,348
"Repeal the National Planning Policy Framework and in particular its presumption in favour of development,",416,349
"and put planning back in the hands of local people and government,",301,350
while requiring local authorities to map local ecological networks and work collaboratively to develop national spatial plans.,501,351
"Increase the amount of land offered long-term protection through the European Unions Birds Directive and Habitats Directive,",108,352
make sure these directives are properly enforced,108,353
and defend them in the EU against attempts to weaken them.,108,354
"Work with local communities, scientists and conservation groups to expand the UKs network of Marine Conservation Zones to create areas specifically for the protection of mobile species",501,355
as well as reference areas off limits to fishing and other extractive activities.,501,356
Play our part in creating a Southern Atlantic Reserve and champion internationally the protection of the Arctic.,107,357
"Produce a strategy for capturing carbon and reducing greenhouse gases through improved land management, for example by encouraging and preserving peatlands.",501,358
"Because of the interaction between water supply and the wider environment, require Ofwat (the Water Services Regulation Authority) and the Environment Agency to work together to create a healthy water environment",501,359
and long-term low prices for consumers.,412,360
"In particular, build new reservoirs in the south and east of England.",501,361
Prohibit developers from being allowed to destroy unique habitats by way of biodiversity offsetting elsewhere.,416,362
"Because 94% of the biodiversity for which the UK is responsible is found in our Overseas Territories, ensure that conservation of the environment of the Overseas Territories, including their marine areas, is funded to a level equal to their global significance.",107,363
"We would also immediately extend ratification of the UN Convention on Biological Diversity to all uninhabited territories,",107,364
and work with territory governments to agree a timeline for ratification of the Convention in all inhabited territories.,107,365
Greens in power carry out our policies,305,366
The Green-led administration in Brighton has secured open access to more green space in perpetuity.,501,367
"It declared over 800 acres of Council-owned downland and farmland as open access land, meaning residents can freely use land that was once closed to them.",501,368
"It added another 670 acres in July 2014, protected in perpetuity.",501,369
"Market forces and government policies have favoured increasing industrialisation of agriculture, mass-produced food and dependence on fossil fuels.",416,371
"This comes with great external costs to the environment, human health, farming people and animal welfare.",416,372
"Soil erosion, depletion of water resources, pollution, loss of biodiversity and animal suffering are commonplace.",416,373
"In addition, agriculture accounts for a significant proportion of greenhouse gas emissions,",416,374
and pressure on land resources is linked with deforestation in many parts of the world.,416,375
"But food supply and farming are not just another business, and we need to ensure: That nutritious food is available to everyone at prices they can afford;",416,376
Decent rural livelihoods and support for rural communities;,416,377
That there is national and international food security;,416,378
That farming respects the environment and treats farm animals well.,501,379
To secure these objectives we will: Seek to reform the Common Agricultural Policy,110,380
"and reform our national agri-environment schemes to prioritise and support farmers who farm sustainably and enhance biodiversity on farmed land with a variety of farming styles, methods and scales.",701,381
"Foster environmentally sustainable agriculture, land management and a secure food supply by properly supporting valid, rigorous and reliable research into all areas and types of farming including organic farming.",416,382
"Encourage farming to operate in fair trade conditions, which guarantee a decent livelihood for farmers at home and also in countries that export food to the UK.",416,383
Protect productive farmland from development except for that associated with agriculture and those engaged in it.,416,384
"In particular, review the current classification of farm land to maximise local production of food.",416,385
Work to reduce food imports and increase home and local food production where feasible.,416,386
Increase localisation of the food chain and encourage direct sales via local markets;,416,387
support fair trade for farmers,416,388
and enable them to gain independence from disadvantageous contracts with supermarkets by strengthening the powers of the supermarket ombudsman.,403,389
"Help hospitals and schools and other food buyers in the public sector to lead the way in buying sustainable products,",416,390
and encourage children to be involved in growing and cooking food.,416,391
"Work to ensure sustainable fishing policies, leading to sustainable fishing communities, at both the national and European levels as appropriate.",416,392
"In particular, fishing quota allocations should reward local sustainable fisheries.",406,393
"Research, promote and support farming methods that reduce greenhouse gas emissions,",501,394
enable carbon storage,501,395
"and have minimum impact on wildlife, as established by rigorous and reliable research.",501,396
"In particular, we should encourage eating less and better meat.",501,397
"Support a moratorium, at national and EU level, on the use of genetically modified organisms (GMOs) in all agricultural systems, including production of human food and animal feed, and on importation of GM food or feed.",501,398
Work to reduce food waste.,501,399
Green councillors promote local food...,501,400
"Councillor Molly Scott Cato in Stroud secured £100,000 in the District Council budget to invest in local food production for everyone.",501,401
"In a rural area like Stroud, it makes sense to support local food producers so that everyone can eat food grown within the district, she said.",501,402
"We support calls for a new Commission on Animal Protection, which would cover animal protection issues in all the areas specifically addressed below.",501,405
"In farming, we must move away from the intensification and industrialisation of animal farming.",501,406
Sustainable farming means animals freed from cages and returned to the land.,501,407
We will end factory farming and enforce strict animal welfare standards.,501,408
In particular we will work for: A complete ban on cages for hens and rabbits,501,409
and on zero-grazing units for dairy cows.,501,410
Improved food labelling and better traceability of our food to prevent further food scandals such as the horse meat scandal;,403,411
mandatory labelling of meat and dairy products as to method of production and method of slaughter.,501,412
Mandatory CCTV in all slaughterhouses.,501,413
"Tougher regulations on animal transportation, including a maximum limit of 8 hours and an end to live export from the UK.",501,414
"Action to stop the overuse of antibiotics in intensive animal farming,",501,415
with mandatory targets and surveillance of the human health impacts.,501,416
A ban on the production and sale of foie gras.,501,417
A ban on the cloning of farm animals and on the sale of meat and milk from these animals.,501,418
Ending genetic selection for fast growth or high yields where this results in compromised welfare such as ill health or pain.,416,419
Protection for British farmers from low-welfare imports.,406,420
"So what do farming, health, insurance and carbon dioxide emissions have to do with each other?",501,422
"Good farming respects ecology, promotes biodiversity and encourages us to get out and enjoy the wildlife and landscape, improving both our mental and our physical health.",501,423
"And local food saves food miles, combating climate change,",501,424
"while good land management can retain water, reducing flooding and our insurance premiums.",501,425
Illegal wildlife trade is causing great suffering; it devastates species across the globe and is linked to other serious organised crimes.,501,426
"Greens will implement: Increased support and resources to build expertise in wildlife crime within the justice sector,",501,427
"including: strengthening sentencing in this area,",605,428
"gathering data on the trade,",501,429
ensuring police forces implement local strategies,605,430
and ensuring funding of the Wildlife Crime Unit.,501,431
A ban on the import of exotic pets.,501,432
An end to the keeping of primates as household pets.,501,433
Enhanced public education and awareness to reduce demand.,501,434
Allocation of resources to support other countries in tackling poaching and human/wildlife conflict.,107,435
On other animal protection issues we would: Maintain and strengthen the ban on hunting with dogs,501,436
and extend this ban to all hunting of all animals for sport or pleasure.,501,437
End the badger cull (see Badger culls box).,501,438
End the use of snares.,501,439
End the practice of grouse shooting and other sport shooting.,501,440
End the use of all animals in circuses.,501,441
End the use of the whip in horse racing and conduct a full review of the sport.,501,442
Take action over other sports or entertainment that cause suffering to animals.,501,443
Ensure UK taxpayers money is not used to fund bullfighting.,501,444
Ensure greater protection for racing greyhounds and initiate a formal independent review of the industry.,501,445
Ban the import of fur products.,501,446
"Work for stronger international protection of endangered sea creatures, and an end to the killing of porpoises, whales and dolphins in all waters and keeping these animals for commercial purposes.",107,447
Badger culls  inhumane and unscientific,501,448
"The Green Party has been strongly opposed to the badger cull from the outset, saying that all the evidence showed it would be both inhumane and ineffective at tackling bovine tuberculosis.",501,449
"The Department for Environment, Food and Rural Affairs (Defra) controversially went ahead with culling by free shooting in Gloucestershire and Somerset in 2013.",501,450
"The trial was a failure, being shown to be both inhumane and ineffective, as predicted.",501,451
The Coalition has nonetheless chosen to continue to pursue this strategy.,501,452
In October 2012 Green MP Caroline Lucas secured a major parliamentary debate to challenge the governments badger policy and led MPs in a successful vote against it.,501,453
"Greens want to see an end to all animal experimentation and will ensure that research funding is directed away from failing animal disease models and towards modern human biology-based techniques, which offering greater opportunities to cure disease and improve product safety.",501,454
"We will work to end animal experiments but believe immediate action must be taken to Stop non-medical experiments, experiments using primates, cats and dogs.",501,455
End the use of live animals in military training.,501,456
Stop the breeding of and use of genetically altered animals.,501,457
"End government funding of animal experimentation, including any that is outsourced to other countries.",501,458
Provide greater funding for non-animal research methods and link funding to a target for developing of humane alternatives to animal experiments.,501,459
"Increase transparency and ensure publication of all findings of animal research, including negative findings.",501,460
Introduce a comprehensive system for reviewing animal experiments and initiate a comparison of currently required animal tests with a set of human biology-based tests.,501,461
"On companion animals Greens will push to: Completely review and update existing dog legislation, particularly relating to dog control.",501,462
Ensure properly coordinated action on dog fighting.,501,463
Update the rules on selling animals and tackle problems associated with online advertising of pets and illegal imports.,501,464
Introduce mandatory licensing of breeders and control on genetic manipulation through breeding to prevent exaggerated characteristics likely to cause suffering.,501,465
End puppy farming by banning the sale of young puppies unless the mother is present.,501,466
Introduce regulations that make it illegal to use aversive training aids such as electric shock collars.,501,467
Greens in power carry out our policies,501,468
"In Brighton, the Green-led Council ensures that new Council tenancy agreements include a requirement that dogs living in council owned homes should be micro-chipped.",501,469
This has encouraged more tenants who own dogs to behave responsibly as their pets are much easier to trace.,501,470
Greens are pro-science.,411,472
Our policies on everything from climate change to eradicating bovine TB are based on the best possible scientific evidence.,411,473
"But just because science allows us to do something, that does not mean that we should do it.",416,474
We oppose nuclear power,416,475
and the release of genetically modified crops into the environment.,416,476
"We need to balance our scientific and technological abilities against the social, economic and ethical consequences of using them",416,477
 including their impact on future generations and other species.,416,478
"Greens will support the development of technologies that have strong social, economic and environmental benefits.",416,479
"That is why we support investment in energy efficiency and the development of renewable energy//,",416,480
which will be vital in helping to secure improvements in peoples quality of life,416,481
and to combating climate change.,501,482
"We would: Ensure that adequate government funding goes to research on major environmental issues such as climate change, pollution and biodiversity loss,",501,483
and less is spent on military research.,105,484
"Ensure that basic research is adequately funded and is not controlled by large corporations,",403,485
and gradually increase public spending on scientific research from 0.5% to 1.0% of GDP over the next ten years.,411,486
"Ensure that scientific research is conducted ethically, with regard in particular to human and animal welfare.",501,487
Publish freely the results of all publicly funded research.,403,488
Prevent the patenting of genes and living organisms.,403,489
What scientists say So... the Green Party... a party of sentimental tree-huggers?,501,490
"Yes, we do love trees, and many of us take great moral and spiritual solace from the natural world.",501,491
"But we are also a party of science, and we listen to scientists.",411,492
"First, the worlds 1.3 billion poorest people need to be raised out of extreme poverty.",701,494
